SQLDATE,avg_goldstein,avg_tone,nb_evenements,nb_mentions,nb_sources,nb_articles,nb_conflits,crisis_rate,theme_crisis,theme_election,theme_economy,theme_security,theme_count,actor1_is_gov,actor1_is_mil,actor1_is_intl,actor1_is_civil,actor2_is_gov,actor2_is_mil,actor2_is_intl,actor2_is_civil,dayofweek,month,quarter,is_weekend,day_of_year,dow_sin,dow_cos,crisis_day,conflit_detect,roll_3d_goldstein,roll_7d_goldstein,roll_14d_goldstein,roll_3d_tone,roll_7d_tone,roll_14d_tone,roll_7d_events,goldstein_lag1,tone_lag1,crisis_lag1,media_pressure
2025-09-07,-0.8800000000000001,-4.027874058917164,5,30,5,30,2,0.4,1.0,0.8,0.8,0.8,40.6,0.4,0.0,0.2,0.2,0.0,0.0,0.6,0.0,6,9,3,1,250,-0.7818314824680299,0.6234898018587334,0,1,-0.5418452380952378,0.33952664399092963,0.5432385967207396,-1.8116344075188808,-0.8259795182274908,-1.0043178624517246,100.0,-1.7142857142857142,-2.156209981968146,1.0,5.0
2025-09-08,1.1869565217391305,-2.011319241155732,23,178,23,170,5,0.21739130434782608,0.6521739130434783,0.43478260869565216,0.5217391304347826,0.30434782608695654,31.82608695652174,0.2608695652173913,0.0,0.30434782608695654,0.08695652173913043,0.2608695652173913,0.08695652173913043,0.34782608695652173,0.08695652173913043,0,9,3,0,251,0.0,1.0,0,1,-0.469109730848861,0.48242519471556733,0.5837354911306775,-2.7318010940136808,-1.0175075067828334,-0.9008496238987654,93.0,-0.8800000000000001,-4.027874058917164,0.0,7.416666666666667
2025-09-09,-0.20000000000000004,-7.923433422907666,3,26,3,26,2,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,55.333333333333336,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1,9,3,0,252,0.7818314824680298,0.6234898018587336,1,1,0.03565217391304373,0.2951236074139801,0.5128563702515565,-4.654208907660188,-2.1343057008577184,-1.3359272678244862,87.0,1.1869565217391305,-2.011319241155732,0.0,6.5
2025-09-10,-0.02222222222222224,0.2009417252674835,9,66,9,66,3,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.7777777777777778,0.4444444444444444,46.888888888888886,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,2,9,3,0,253,0.9749279121818236,-0.22252093395631434,0,1,0.3215780998389697,0.07131408360445626,0.42466192580711215,-3.2446036462653054,-2.1027137658150115,-1.231543590022719,78.0,-0.20000000000000004,-7.923433422907666,1.0,6.6
2025-09-11,1.825,3.9033055857310015,12,95,12,95,1,0.08333333333333333,0.5,0.4166666666666667,0.8333333333333334,0.08333333333333333,32.583333333333336,0.4166666666666667,0.0,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.5,0.25,3,9,3,0,254,0.43388373911755823,-0.900968867902419,0,1,0.5342592592592595,0.16631408360445626,0.5154586291038153,-1.2730620373030603,-1.6093440822316507,-0.9135725004039957,75.0,-0.02222222222222224,0.2009417252674835,0.0,7.3076923076923075
2025-09-12,0.5526315789473685,-0.799038456143307,19,134,19,134,5,0.2631578947368421,0.631578947368421,0.2631578947368421,0.47368421052631576,0.47368421052631576,33.05263157894737,0.15789473684210525,0.0,0.2631578947368421,0.0,0.3157894736842105,0.0,0.47368421052631576,0.10526315789473684,4,9,3,0,255,-0.433883739117558,-0.9009688679024191,0,1,0.7851364522417157,0.10686859488265175,0.619218027600056,1.1017362849517258,-1.8305182642990754,-0.8201911151023964,78.0,1.825,3.9033055857310015,0.0,6.7
2025-09-13,0.2692307692307692,2.888080272577564,13,83,13,83,3,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.5384615384615384,0.46153846153846156,29.23076923076923,0.5384615384615384,0.0,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.46153846153846156,0.07692307692307693,5,9,3,1,256,-0.9749279121818236,-0.2225209339563146,0,1,0.8822874493927128,0.39022809252786367,0.6188059396879682,1.9974491340550864,-1.1099053707925457,-0.7027937358116605,84.0,0.5526315789473685,-0.799038456143307,0.0,5.928571428571429
2025-09-14,0.3500000000000001,1.8350926642349226,4,26,4,26,1,0.25,1.0,0.0,0.75,0.0,27.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,9,3,1,257,-0.7818314824680299,0.6234898018587334,0,1,0.3906207827260462,0.5659423782421494,0.45273451111653956,1.3080448268897267,-0.27233869605653316,-0.5491591071420121,83.0,0.2692307692307692,2.888080272577564,0.0,5.2
2025-09-15,1.437037037037037,0.2242106423820903,27,218,27,218,4,0.14814814814814814,0.6296296296296297,0.18518518518518517,0.7037037037037037,0.4444444444444444,36.74074074074074,0.18518518518518517,0.18518518518518517,0.2962962962962963,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.6296296296296297,0.037037037037037035,0,9,3,0,258,0.0,1.0,0,0,0.6854226020892691,0.6016681661418504,0.5420466804287088,1.6491278597315258,0.047022715877441494,-0.48524239545269604,87.0,0.3500000000000001,1.8350926642349226,0.0,7.785714285714286
2025-09-16,2.085,-0.11616388986582452,20,159,20,159,4,0.2,0.5,0.3,0.5,0.35,33.95,0.3,0.05,0.3,0.05,0.2,0.05,0.5,0.05,1,9,3,0,259,0.7818314824680298,0.6234898018587336,0,0,1.2906790123456793,0.9280967375704218,0.611610172492201,0.647713138917063,1.1623469348834188,-0.4859793829871498,104.0,1.437037037037037,0.2242106423820903,0.0,7.571428571428571
